char 1, char2, index, text
Brienne (Brienne), Jaime-Lannister (Kingslayer), 84803, "why should the Lannisters give my daughters to Brienne?"  "It will never come to that. The Kingslayer"
Catelyn-Stark (Catelyn), Edmure-Tully (Edmure), 85078, "as no one was hunting for them. But now �" Catelyn could not go on. "Leave me; Edmure"
Hot-Pie (Hot-Pie), Gendry (Gendry), 85906, "her stolen horse to a brisk heedless trot until the trees closed in around her. Hot-Pie and Gendry"
Hot-Pie (Hot-Pie), Arya-Stark (Arya), 86051, "in the distance; and she could hear Hot-Pie heavy breathing. No one spoke. From time to time Arya"
Nan (Nan), Arya-Stark (Arry), 86816, "the kitchens; a baker boy; a prentice smith; and a cupbearer called Nan � or Weasel; or Arry"
Arya-Stark (Arry), Roose-Bolton (Lord-of-the-Dreadfort), 86872, "and a cupbearer called Nan � or Weasel; or Arry; depending on who you asked.  The Lord-of-the-Dreadfort"
Nan (Nan), Roose-Bolton (Lord-of-the-Dreadfort), 86872, "and a cupbearer called Nan � or Weasel; or Arry; depending on who you asked.  The Lord-of-the-Dreadfort"
Arya-Stark (Arya), Roose-Bolton (Roose-Bolton), 87503, "him.  If they catch us; hell cut off our hands and feet; Arya thought; and then Roose-Bolton"
Gendry (Gendry), Hot-Pie (Hot-Pie), 88337, "There is death on the road; she told herself; death on all the roads.  Gendry and Hot-Pie"
Syrio-Forel (Syrio-Forel), Jaqen (Jaqen), 89162, "cuts deeper than swords; she whispered under her breath; the words that Syrio-Forel had taught her; and Jaqen"
Arya-Stark (Arya), Gendry (Gendry), 90332, "third raised his head and bared his teeth; prepared to defend his kill. "Back off;" Arya told Gendry"
Gregor-Clegane (Ser-Gregor), Polliver (Polliver), 91002, "the fleshless dead in their wet rotting clothes and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver"
Gregor-Clegane (Ser-Gregor), Raff (Raff-the-Sweetling), 91022, "fleshless dead in their wet rotting clothes and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling"
Polliver (Polliver), Raff (Raff-the-Sweetling), 91022, "fleshless dead in their wet rotting clothes and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling"
Gregor-Clegane (Ser-Gregor), Tickler (Tickler), 91035, "in their wet rotting clothes and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler"
Polliver (Polliver), Tickler (Tickler), 91035, "in their wet rotting clothes and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler"
Raff (Raff-the-Sweetling), Tickler (Tickler), 91035, "in their wet rotting clothes and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler"
Gregor-Clegane (Ser-Gregor), Sandor-Clegane (Hound), 91049, "rotting clothes and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound"
Polliver (Polliver), Sandor-Clegane (Hound), 91049, "rotting clothes and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound"
Raff (Raff-the-Sweetling), Sandor-Clegane (Hound), 91049, "rotting clothes and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound"
Tickler (Tickler), Sandor-Clegane (Hound), 91049, "rotting clothes and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound"
Gregor-Clegane (Ser-Gregor), Ilyn-Payne (Ser-Ilyn), 91059, "clothes and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn"
Polliver (Polliver), Ilyn-Payne (Ser-Ilyn), 91059, "clothes and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn"
Raff (Raff-the-Sweetling), Ilyn-Payne (Ser-Ilyn), 91059, "clothes and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn"
Sandor-Clegane (Hound), Ilyn-Payne (Ser-Ilyn), 91059, "clothes and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn"
Tickler (Tickler), Ilyn-Payne (Ser-Ilyn), 91059, "clothes and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn"
Gregor-Clegane (Ser-Gregor), Meryn-Trant (Ser-Meryn), 91070, "and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn"
Ilyn-Payne (Ser-Ilyn), Meryn-Trant (Ser-Meryn), 91070, "and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn"
Polliver (Polliver), Meryn-Trant (Ser-Meryn), 91070, "and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn"
Raff (Raff-the-Sweetling), Meryn-Trant (Ser-Meryn), 91070, "and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn"
Sandor-Clegane (Hound), Meryn-Trant (Ser-Meryn), 91070, "and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn"
Tickler (Tickler), Meryn-Trant (Ser-Meryn), 91070, "and said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn"
Gregor-Clegane (Ser-Gregor), Joffrey-Baratheon (King-Joffrey), 91084, "said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey"
Ilyn-Payne (Ser-Ilyn), Joffrey-Baratheon (King-Joffrey), 91084, "said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey"
Meryn-Trant (Ser-Meryn), Joffrey-Baratheon (King-Joffrey), 91084, "said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey"
Polliver (Polliver), Joffrey-Baratheon (King-Joffrey), 91084, "said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey"
Raff (Raff-the-Sweetling), Joffrey-Baratheon (King-Joffrey), 91084, "said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey"
Sandor-Clegane (Hound), Joffrey-Baratheon (King-Joffrey), 91084, "said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey"
Tickler (Tickler), Joffrey-Baratheon (King-Joffrey), 91084, "said her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey"
Gregor-Clegane (Ser-Gregor), Cersei-Lannister (Queen-Cersei), 91098, "her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey; Queen-Cersei"
Ilyn-Payne (Ser-Ilyn), Cersei-Lannister (Queen-Cersei), 91098, "her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey; Queen-Cersei"
Joffrey-Baratheon (King-Joffrey), Cersei-Lannister (Queen-Cersei), 91098, "her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey; Queen-Cersei"
Meryn-Trant (Ser-Meryn), Cersei-Lannister (Queen-Cersei), 91098, "her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey; Queen-Cersei"
Polliver (Polliver), Cersei-Lannister (Queen-Cersei), 91098, "her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey; Queen-Cersei"
Raff (Raff-the-Sweetling), Cersei-Lannister (Queen-Cersei), 91098, "her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey; Queen-Cersei"
Sandor-Clegane (Hound), Cersei-Lannister (Queen-Cersei), 91098, "her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey; Queen-Cersei"
Tickler (Tickler), Cersei-Lannister (Queen-Cersei), 91098, "her own prayer. Ser-Gregor; it went; Dunsen; Polliver; Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey; Queen-Cersei"
Cersei-Lannister (Queen-Cersei), Jaqen (Jaqen), 91148, "Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey; Queen-Cersei. She ended it with valar morghulis; touched Jaqen"
Ilyn-Payne (Ser-Ilyn), Jaqen (Jaqen), 91148, "Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey; Queen-Cersei. She ended it with valar morghulis; touched Jaqen"
Joffrey-Baratheon (King-Joffrey), Jaqen (Jaqen), 91148, "Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey; Queen-Cersei. She ended it with valar morghulis; touched Jaqen"
Meryn-Trant (Ser-Meryn), Jaqen (Jaqen), 91148, "Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey; Queen-Cersei. She ended it with valar morghulis; touched Jaqen"
Sandor-Clegane (Hound), Jaqen (Jaqen), 91148, "Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey; Queen-Cersei. She ended it with valar morghulis; touched Jaqen"
Tickler (Tickler), Jaqen (Jaqen), 91148, "Raff-the-Sweetling. The Tickler and the Hound. Ser-Ilyn; Ser-Meryn; King-Joffrey; Queen-Cersei. She ended it with valar morghulis; touched Jaqen"
Gendry (Gendry), Arya-Stark (Arya), 91906, "from hand to hand.  "Do you know where were going?" Gendry asked her.  "North;" said Arya"
Arya-Stark (Arya), Hot-Pie (Hot-Pie), 91916, "to hand.  "Do you know where were going?" Gendry asked her.  "North;" said Arya.  Hot-Pie"
Gendry (Gendry), Hot-Pie (Hot-Pie), 91916, "to hand.  "Do you know where were going?" Gendry asked her.  "North;" said Arya.  Hot-Pie"
Gendry (Gendry), Arya-Stark (Arya), 92205, "That south."  "What do we want with the north?" Gendry wanted to know.  "The Trident." Arya"
Hot-Pie (Hot-Pie), Gendry (Gendry), 93170, "feel bad to hide the truth from Hot-Pie; but she did not trust him with her secret. Gendry"
Hot-Pie (Hot-Pie), Gendry (Gendry), 93883, "where the trees made a solid canopy overhead.  From time to time she sent Hot-Pie and Gendry"
Arya-Stark (Arya), Hot-Pie (Hot-Pie), 94545, "of the wolves lifted its head and howled back; the sound made Arya shiver.  By midday Hot-Pie"
Arya-Stark (Arya), Gendry (Gendry), 94760, "get some sleep. "Im so tired Im going to fall off the horse."  Arya looked at Gendry"
Gendry (Gendry), Hot-Pie (Hot-Pie), 94898, "will find him first; the wolves or the Mummers?"  "The wolves;" said Gendry. "Better noses."  Hot-Pie"
Gendry (Gendry), Hot-Pie (Hot-Pie), 95236, "across the bare burned fields.  Gendry was having almost as bad a time of it as Hot-Pie"
Gendry (Gendry), Hot-Pie (Hot-Pie), 95579, "as long as she could remember; ponies when she was little and later horses; but Gendry and Hot-Pie"
Gendry (Gendry), Hot-Pie (Hot-Pie), 96123, "if not for her they would still be safe at Harrenhal; Gendry sweating at his forge and Hot-Pie"
Hot-Pie (Hot-Pie), Eddard-Stark (Ned-Stark), 96197, "his forge and Hot-Pie in the kitchens. If the Mummers catch us; Ill tell them that Im Ned-Stark"
Eddard-Stark (Ned-Stark), Robb-Stark (King-in-the-North), 96242, "kitchens. If the Mummers catch us; Ill tell them that Im Ned-Stark daughter and sister to the King-in-the-North"
Hot-Pie (Hot-Pie), Gendry (Gendry), 96326, "Ill command them to take me to my brother; and to do no harm to Hot-Pie and Gendry"
Gendry (Gendry), Roose-Bolton (Lord-Bolton), 96398, "harm to Hot-Pie and Gendry. They might not believe her; though; and even if they did � Lord-Bolton"
Hot-Pie (Hot-Pie), Roose-Bolton (Lord-Bolton), 96398, "harm to Hot-Pie and Gendry. They might not believe her; though; and even if they did � Lord-Bolton"
Gendry (Gendry), Arya-Stark (Arya), 97283, "have come a long way."  "Let have a look at that map again;" said Gendry.  Arya"
Hot-Pie (Hot-Pie), Gendry (Gendry), 98074, " Hot-Pie looked from the line to the river. "It doesnt look so little to me."  Gendry"
Hot-Pie (Hot-Pie), Arya-Stark (Arry), 98996, "cross and keep going north; like we were."  "Can horses swim?" asked Hot-Pie. "It looks deep; Arry"
Arya-Stark (Arry), Gendry (Gendry), 99071, ""It looks deep; Arry. What if there are snakes?"  "Are you sure were going north?" asked Gendry"
Arya-Stark (Arya), Gendry (Gendry), 100612, "long way from Harrenhal now; for sure. We could have us a fire�"  "NO!" Arya and Gendry"
Arya-Stark (Arya), Hot-Pie (Hot-Pie), 100658, "could have us a fire�"  "NO!" Arya and Gendry both said; at the exact same instant. Hot-Pie"
Gendry (Gendry), Hot-Pie (Hot-Pie), 100658, "could have us a fire�"  "NO!" Arya and Gendry both said; at the exact same instant. Hot-Pie"
Gendry (Gendry), Arya-Stark (Arya), 100681, "fire�"  "NO!" Arya and Gendry both said; at the exact same instant. Hot-Pie quailed a little. Arya"
Hot-Pie (Hot-Pie), Arya-Stark (Arya), 100681, "fire�"  "NO!" Arya and Gendry both said; at the exact same instant. Hot-Pie quailed a little. Arya"
Arya-Stark (Arya), Gendry (Gendry), 100693, ""NO!" Arya and Gendry both said; at the exact same instant. Hot-Pie quailed a little. Arya gave Gendry"
Hot-Pie (Hot-Pie), Gendry (Gendry), 100693, ""NO!" Arya and Gendry both said; at the exact same instant. Hot-Pie quailed a little. Arya gave Gendry"
Arya-Stark (Arya), Jon-Snow (Jon), 100739, "instant. Hot-Pie quailed a little. Arya gave Gendry a sideways look. He said it with me; like Jon"
Gendry (Gendry), Jon-Snow (Jon), 100739, "instant. Hot-Pie quailed a little. Arya gave Gendry a sideways look. He said it with me; like Jon"
Jon-Snow (Jon-Snow), Hot-Pie (Hot-Pie), 100857, "in Winterfell. She missed Jon-Snow the most of all her brothers.  "Could we sleep at least?" Hot-Pie"
Hot-Pie (Hot-Pie), Arya-Stark (Arry), 100883, "the most of all her brothers.  "Could we sleep at least?" Hot-Pie asked. "Im so tired; Arry"
Arya-Stark (Arya), Hot-Pie (Hot-Pie), 101269, "around them; Arya found her own exhaustion weighing heavy on her. She needed sleep as much as Hot-Pie"
Hot-Pie (Hot-Pie), Vargo-Hoat (Vargo-Hoat), 101350, "much as Hot-Pie; but they dare not. If they slept; they might open their eyes to find Vargo-Hoat"
Vargo-Hoat (Vargo-Hoat), Shagwell (Shagwell-the-Fool), 101392, "dare not. If they slept; they might open their eyes to find Vargo-Hoat standing over them with Shagwell-the-Fool"
Shagwell (Shagwell-the-Fool), Urswyck (Faithful-Urswyck), 101413, "If they slept; they might open their eyes to find Vargo-Hoat standing over them with Shagwell-the-Fool and Faithful-Urswyck"
Vargo-Hoat (Vargo-Hoat), Urswyck (Faithful-Urswyck), 101413, "If they slept; they might open their eyes to find Vargo-Hoat standing over them with Shagwell-the-Fool and Faithful-Urswyck"
Shagwell (Shagwell-the-Fool), Rorge (Rorge), 101423, "slept; they might open their eyes to find Vargo-Hoat standing over them with Shagwell-the-Fool and Faithful-Urswyck and Rorge"
Urswyck (Faithful-Urswyck), Rorge (Rorge), 101423, "slept; they might open their eyes to find Vargo-Hoat standing over them with Shagwell-the-Fool and Faithful-Urswyck and Rorge"
Vargo-Hoat (Vargo-Hoat), Rorge (Rorge), 101423, "slept; they might open their eyes to find Vargo-Hoat standing over them with Shagwell-the-Fool and Faithful-Urswyck and Rorge"
Rorge (Rorge), Utt (Septon-Utt), 101448, "their eyes to find Vargo-Hoat standing over them with Shagwell-the-Fool and Faithful-Urswyck and Rorge and Biter and Septon-Utt"
Shagwell (Shagwell-the-Fool), Utt (Septon-Utt), 101448, "their eyes to find Vargo-Hoat standing over them with Shagwell-the-Fool and Faithful-Urswyck and Rorge and Biter and Septon-Utt"
Urswyck (Faithful-Urswyck), Utt (Septon-Utt), 101448, "their eyes to find Vargo-Hoat standing over them with Shagwell-the-Fool and Faithful-Urswyck and Rorge and Biter and Septon-Utt"
Vargo-Hoat (Vargo-Hoat), Utt (Septon-Utt), 101448, "their eyes to find Vargo-Hoat standing over them with Shagwell-the-Fool and Faithful-Urswyck and Rorge and Biter and Septon-Utt"
Hot-Pie (Hot-Pie), Gendry (Gendry), 102786, "be stupid; but Im stopping. Ill take the first watch. You sleep."  "What about Hot-Pie?"  Gendry"
Gendry (Gendry), Hot-Pie (Hot-Pie), 102803, "but Im stopping. Ill take the first watch. You sleep."  "What about Hot-Pie?"  Gendry pointed. Hot-Pie"
Arya-Stark (Arya), Gendry (Gendry), 103051, "looked as though he had fallen asleep between bites.  It was no good arguing; Arya realized; Gendry"
Gregor-Clegane (Ser-Gregor), Polliver (Polliver), 103589, "her eyes was unsheathe her sword and lay it down beside her. "Ser-Gregor;" she whispered; yawning. "Dunsen; Polliver"
Gregor-Clegane (Ser-Gregor), Raff (Raff-the-Sweetling), 103609, "eyes was unsheathe her sword and lay it down beside her. "Ser-Gregor;" she whispered; yawning. "Dunsen; Polliver; Raff-the-Sweetling"
Polliver (Polliver), Raff (Raff-the-Sweetling), 103609, "eyes was unsheathe her sword and lay it down beside her. "Ser-Gregor;" she whispered; yawning. "Dunsen; Polliver; Raff-the-Sweetling"
Gregor-Clegane (Ser-Gregor), Tickler (Tickler), 103622, "unsheathe her sword and lay it down beside her. "Ser-Gregor;" she whispered; yawning. "Dunsen; Polliver; Raff-the-Sweetling. The Tickler"
Polliver (Polliver), Tickler (Tickler), 103622, "unsheathe her sword and lay it down beside her. "Ser-Gregor;" she whispered; yawning. "Dunsen; Polliver; Raff-the-Sweetling. The Tickler"
Raff (Raff-the-Sweetling), Tickler (Tickler), 103622, "unsheathe her sword and lay it down beside her. "Ser-Gregor;" she whispered; yawning. "Dunsen; Polliver; Raff-the-Sweetling. The Tickler"
Gregor-Clegane (Ser-Gregor), Sandor-Clegane (Hound), 103652, "beside her. "Ser-Gregor;" she whispered; yawning. "Dunsen; Polliver; Raff-the-Sweetling. The Tickler and � the Tickler � the Hound"
Polliver (Polliver), Sandor-Clegane (Hound), 103652, "beside her. "Ser-Gregor;" she whispered; yawning. "Dunsen; Polliver; Raff-the-Sweetling. The Tickler and � the Tickler � the Hound"
Raff (Raff-the-Sweetling), Sandor-Clegane (Hound), 103652, "beside her. "Ser-Gregor;" she whispered; yawning. "Dunsen; Polliver; Raff-the-Sweetling. The Tickler and � the Tickler � the Hound"
Tickler (Tickler), Sandor-Clegane (Hound), 103652, "beside her. "Ser-Gregor;" she whispered; yawning. "Dunsen; Polliver; Raff-the-Sweetling. The Tickler and � the Tickler � the Hound"
Cersei-Lannister (Cersei), Mandon-Moore (Ser-Mandon), 106313, "the queen pay; so any visitor might be another of Cersei catspaws; sent to finish the work Ser-Mandon"
Tyrion-Lannister (Tyrion), Cersei-Lannister (Cersei), 107338, "sweet sister did try." Perhaps he should not have said that aloud; but Tyrion was past caring. Cersei"
Cersei-Lannister (Cersei), Mandon-Moore (Ser-Mandon), 107360, "try." Perhaps he should not have said that aloud; but Tyrion was past caring. Cersei was behind Ser-Mandon"
Tyrion-Lannister (Tyrion), Mandon-Moore (Ser-Mandon), 107360, "try." Perhaps he should not have said that aloud; but Tyrion was past caring. Cersei was behind Ser-Mandon"
Bronn (Ser-Bronn-of-the-Blackwater), Tyrion-Lannister (Imp), 107596, "sigil. A flaming chain; green; on a smoke-grey field. By your lord father command; Im Ser-Bronn-of-the-Blackwater now; Imp"
Mandon-Moore (Ser-Mandon), Podrick-Payne (Pod), 108409, "to do the honors."  "I knew Ser-Mandon died in the battle." Shoved into the river by Pod"
Sandor-Clegane (Hound), Bronn (Bronn), 108544, "treacherous bastard could drive his sword through my heart. "Who else was lost?"  "The Hound;" said Bronn"
Tyrion-Lannister (Tyrion), Bronn (Bronn), 108748, "of my better notions. Tyrion could feel the scar tissue pull tight when he frowned. He waved Bronn"
Jacelyn-Bywater (Ser-Jacelyn), Bronn (Bronn), 109072, "to bring Ser-Jacelyn and he came back and told me he dead."  "Him; and thousands more." Bronn"
Bronn (Bronn), Tyrion-Lannister (Tyrion), 109092, "he came back and told me he dead."  "Him; and thousands more." Bronn sat.  "How?" Tyrion"
Cersei-Lannister (Cersei), Joffrey-Baratheon (Joffrey), 109670, "his horse and killed him."  Another debt to lay at Cersei door. "My nephew;" he said; "Joffrey"
Addam-Marbrand (Ser-Addam-Marbrand), Jaime-Lannister (Jaime), 110150, "cloaks would have resented having an outsider placed over them; but Ser-Addam-Marbrand was a shrewd choice. Like Jaime"
Podrick-Payne (Pod), Shagga (Shagga), 110260, "man other men liked to follow. I have lost the City Watch. "I sent Pod looking for Shagga"
Shagga (Shagga), Timett (Timett), 110384, "Stone Crows are still in the kingswood. Shagga seems to have taken a fancy to the place. Timett"
Timett (Timett), Stannis-Baratheon (Stannis), 110453, "fancy to the place. Timett led the Burned Men home; with all the plunder they took from Stannis"
Tyrion-Lannister (Tyrion), Shae (Shae), 111528, "seldom met. Tyrion had never touched her; she had been no more than a veil; to hide Shae"
Cersei-Lannister (Cersei), Tommen (Tommen), 111818, ""How can I scourge an eight-year-old boy?" But if I dont; Cersei wins.  "You dont have Tommen"
Cersei-Lannister (Cersei), Bronn (Bronn), 111826, "can I scourge an eight-year-old boy?" But if I dont; Cersei wins.  "You dont have Tommen;" Bronn"
Tommen (Tommen), Bronn (Bronn), 111826, "can I scourge an eight-year-old boy?" But if I dont; Cersei wins.  "You dont have Tommen;" Bronn"
Tommen (Tommen), Bronn (Bronn), 112118, "must admit it. He was fond of Tommen. "The Kettleblacks were supposed to be ours;" he reminded Bronn"
Osney-Kettleblack (Osney), Osfryd (Osfryd), 112305, "pennies for every one they had from the queen; but now she raised the stakes. Osney and Osfryd"
Stannis-Baratheon (Stannis), Renly-Baratheon (Renly), 112627, "battle. Is this what triumph tastes like? "Is it true that Stannis was put to rout by Renly"
Renly-Baratheon (Renly), Bronn (Bronn), 112642, "what triumph tastes like? "Is it true that Stannis was put to rout by Renly ghost?"  Bronn"
Stannis-Baratheon (Stannis), Bronn (Bronn), 112642, "what triumph tastes like? "Is it true that Stannis was put to rout by Renly ghost?"  Bronn"
Renly-Baratheon (Lord-Renly), Stannis-Baratheon (Stannis), 112889, "and brothels wholl tell you how they saw Lord-Renly kill this one or that one. Most of Stannis"
Stannis-Baratheon (Stannis), Renly-Baratheon (Renly), 112909, "you how they saw Lord-Renly kill this one or that one. Most of Stannis host had been Renly"
Tyrion-Lannister (Tyrion), Renly-Baratheon (Renly), 113159, "after getting his face slashed in two; Tyrion had been eclipsed by a dead man. If indeed Renly"
Renly-Baratheon (Renly), Stannis-Baratheon (Stannis), 113228, "dead man. If indeed Renly is dead. Something else he would need to look into. "How did Stannis"
Kevan-Lannister (Ser-Kevan), Tyrion-Lannister (Tyrion), 114119, "yours; Ser-Kevan; he paid the rest of us and tossed us out."  "How good of him;" Tyrion"
Mandon-Moore (Ser-Mandon-Moore), Bronn (Bronn), 114321, ""because as it happens; I still have need of you. What do you know of Ser-Mandon-Moore?"  Bronn"
Tyrion-Lannister (Tyrion), Mandon-Moore (Ser-Mandon), 114672, "you need to know?"  "Everything;" said Tyrion; "for a start." What he wanted was proof that Ser-Mandon"
Mandon-Moore (Ser-Mandon), Cersei-Lannister (Cersei), 114688, "know?"  "Everything;" said Tyrion; "for a start." What he wanted was proof that Ser-Mandon had been Cersei"
Tyrion-Lannister (Tyrion), Cersei-Lannister (Cersei), 114688, "know?"  "Everything;" said Tyrion; "for a start." What he wanted was proof that Ser-Mandon had been Cersei"
Bronn (Bronn), Margaery-Tyrell (Margaery-Tyrell), 115108, "mocked Bronn.  "What half a nose; on a face like mine? But speaking of pretty; is Margaery-Tyrell"
Bronn (Bronn), Podrick-Payne (Podrick-Payne), 115811, "he had to grasp Bronn arm to keep from pitching headlong into the rushes. "Pod!" he shouted. "Podrick-Payne"
Tyrion-Lannister (Tyrion), Podrick-Payne (Pod), 115977, "a toothless dog. Tyrion hated weakness; especially his own. It shamed him; and shame made him angry. "Pod"
Podrick-Payne (Pod), Tyrion-Lannister (Tyrion), 116034, "and shame made him angry. "Pod; get in here!"  The boy came running. When he saw Tyrion"
Podrick-Payne (Pod), Bronn (Bronn), 116063, "angry. "Pod; get in here!"  The boy came running. When he saw Tyrion standing and clutching Bronn"
Tyrion-Lannister (Tyrion), Bronn (Bronn), 116063, "angry. "Pod; get in here!"  The boy came running. When he saw Tyrion standing and clutching Bronn"
Bronn (Bronn), Podrick-Payne (Pod), 117060, "oversized bed robe that hung loosely about his shoulders. Bronn yanked his boots onto his feet while Pod"
Meryn-Trant (Ser-Meryn-Trant), Tyrion-Lannister (Tyrion), 117981, "reached the door. Ser-Meryn-Trant stood before it in his pale armor and white cloak. "Lower the bridge;" Tyrion"
Tyrion-Lannister (Tyrion), Meryn-Trant (Ser-Meryn), 118060, ""Lower the bridge;" Tyrion commanded him.  "The queen orders are to raise the bridge at night." Ser-Meryn"
Meryn-Trant (Ser-Meryn), Cersei-Lannister (Cersei), 118083, "commanded him.  "The queen orders are to raise the bridge at night." Ser-Meryn had always been Cersei"
Tywin-Lannister (Lord-Tywin-Lannister), Meryn-Trant (Ser-Meryn-Trant), 118231, "and I have business with my father."  There was magic in the name of Lord-Tywin-Lannister. Grumbling; Ser-Meryn-Trant"
Osmund-Kettleblack (Ser-Osmund-Kettleblack), Tyrion-Lannister (Tyrion), 118396, "lowered. A second Kingsguard knight stood sentry across the moat. Ser-Osmund-Kettleblack managed a smile when he saw Tyrion"
Podrick-Payne (Pod), Tyrion-Lannister (Tyrion), 118559, "the next battle? I can scarcely wait."  When Pod and he reached the serpentine steps; however; Tyrion"
Podrick-Payne (Podrick-Payne), Mathis-Rowan (Lord-Rowan), 119053, "them. "Tyrell men;" Podrick-Payne explained as they threaded their way through a maze of silk and canvas. "Lord-Rowan"
Mathis-Rowan (Lord-Rowan), Paxter-Redwyne (Lord-Redwyne), 119075, "Podrick-Payne explained as they threaded their way through a maze of silk and canvas. "Lord-Rowan too; and Lord-Redwyne"
Tyrion-Lannister (Tyrion), Bronn (Bronn), 121087, "widowed before she was weaned. "I couldnt find him either;" confessed Tyrion.  "He feeding worms;" said Bronn"
Bronn (Bronn), Varys (eunuch), 121149, "Tyrion.  "He feeding worms;" said Bronn with his usual tact. "Ironhand looked for him; and the eunuch"
