Rorge,Rorge,,,,,,,,,,,
Roslin-Frey,Lady-Roslin-Tully,Lady-Roslin-Frey,Roslin-Tully,Lady-Roslin,Roslin-Frey,Lady-Tully,Roslin,,,,,
Rossart,Lord-Rossart,Rossart,,,,,,,,,,
Ryam-Redwyne,Ser-Ryam-Redwyne,Ryam-Redwyne,Ryam,,,,,,,,,
Ryk,Longspear-Ryk,Longspear,Ryk,,,,,,,,,
Ryman-Frey,Ser-Ryman-Frey,Ryman-Frey,Ser-Ryman,Ryman,,,,,,,,
Salladhor-Saan,Salladhor-Saan,Salladhor,Salla,Saan,,,,,,,,
Samwell-Tarly,Samwell-of-the-Night,Sam-the-Slayer,Sam-the-Scared,Samwell-Tarly,Sam-Tarly,Ser-Piggy,Samwell,Samwell,Piggy,Sam,,
Sandor-Clegane,Sandor-Clegane,Sandor,Hound,,,,,,,,,
Sansa-Stark,Lady-of-Winterfell,Sansa-Stark,Lady-Sansa,Sansa,,,,,,,,
Satin,Satin,,,,,,,,,,,
Selwyn,Lord-Selwyn-the-Evenstar,Lord-of-Evenfall,Selwyn-of-Tarth,Lord-Selwyn,Evenstar,Selwyn,,,,,,
Selyse,Queen-Selyse,Selyse,queen-Selyse,,,,,,,,,
Shae,Shae,,,,,,,,,,,
Shagga,Shagga,,,,,,,,,,,
Shagwell,Shagwell-the-Fool,Shagwell,,,,,,,,,,
Shireen,Princess-Shireen,Shireen,,,,,,,,,,
Smalljon-Umber,Smalljon-Umber,Smalljon,,,,,,,,,,
Stannis-Baratheon,Lord-of-Dragonstone,Stannis-Baratheon,Lord-Stannis,King-Stannis,Stannis,king-Stannis,,,,,,
Stevron,Ser-Stevron,Stevron,,,,,,,,,,
Styr,Styr-the-Magnar,Magnar-of-Thenn,Magnar,Styr,,,,,,,,
Sumner-Crakehall,Ser-Sumner-Crakehall,Sumner-Crakehall,Lord-Sumner,Sumner,,,,,,,,
Sybell-Spicer,Sybell-Spicer,Lady-Sybell,Sybell,,,,,,,,,
Symon,Symon-Silver,Symon,,,,,,,,,,
Syrio-Forel,Syrio-Forel,Syrio,Forel,,,,,,,,,
Tallad,Ser-Tallad,Tallad,,,,,,,,,,
Tanda,Lady-Tanda,Tanda,,,,,,,,,,
Tansy,Tansy,,,,,,,,,,,
Temmo,Khal-Temmo,Temmo,,,,,,,,,,
Theon-Greyjoy,Theon-Greyjoy,Theon,King-of-the-Iron-Islands,,,,,,,,,
Ravella-Smallwood,Lady-Smallwood,Ravella-Smallwood,Ravella-Swann,,,,,,,,,
Thoren-Smallwood,Thoren-Smallwood,Thoren,Lord-Smallwood,Smallwood,,,,,,,,
Thoros,Thoros-of-Myr,Thoros,Ember,,,,,,,,,
Tickler,Tickler,,,,,,,,,,,
Timett,Timett-One-Eye,One-Eye,Timett,,,,,,,,,
Tion-Frey,Tion-Frey,Tion,,,,,,,,,,
Tobho-Mott,Master-Mott,Tobho-Mott,Tobho,Mott,,,,,,,,
Tom-Sevenstrings,Tom-of-Sevenstreams,Tom-Sevenstrings,Tom-Sevensons,Sevenstrings,Sevensons,Tom,Tom-oSevens,,,,,
Tommen,Prince-Tommen,King-Tommen,Tommen,king-Tommen,,,,,,,,
Tormund,Tormund-Thunderfist,Tormund-Giantsbane,Tormund-Giantsbabe,Tormund-Crowlover,Thunderfist,Giantsbane,Giantsbabe,Crowlover,Tormund,,,
Torrhen-Stark,Torrhen-Stark,King-Torrhen,Torrhen,,,,,,,,,
