,Brandon S Encounters:,,,
,Hodor (Hodor), Brandon S (Bran),1120717," ""Dancer could not go; and this did not shame Bran the way it did when Hodor"""
,Brandon S (Bran), Hodor (Hodor),1120894," ""hard to tell. The only tricky part was doors. Sometimes Hodor forgot that he had Bran"""
,Hodor (Hodor), Brandon S (Bran),1122420," ""to it; but they'd quiet soon enough once Summer was gone. ""The godswood;"" Bran reminded Hodor"""
,Robert B (Robert), Brandon S (Bran),1122755," ""Bran had never seen as many strangers in all his years; not even when King Robert"""
,Brandon S (Bran), Luwin (Maester Luwin),1126178," ""more for being without him.  Maester Luwin counseled Robb to remain at Winterfell; and Bran"""
,Brandon S (Bran), Robb S (Robb),1126178," ""more for being without him.  Maester Luwin counseled Robb to remain at Winterfell; and Bran"""
,Rickon S (Rickon), Brandon S (Bran),1126235," ""at Winterfell; and Bran pleaded with him too; for his own sake as much as Rickon"""
,Robb S (Robb), Brandon S (Bran),1126492," ""Tullys against the Lannisters; Bran could understand that; but it did not have to be Robb"""
,Brandon S (Bran), Robb S (Robb),1126854," ""of Winterfell;"" he said; all Robb the Lord.  Robb seemed half a stranger to Bran"""
,Brandon S (Bran), Robb S (Robb),1129253," ""against your liege lord;"" Robb said; ""but doubtless you only meant to cut my meat."" Bran"""
,Greatjon U (Greatjon), Brandon S (Bran),1129292," ""doubtless you only meant to cut my meat."" Bran's bowels went to water as the Greatjon"""
,Brandon S (Bran), Nan (Old Nan),1130240," ""Boltons hang the skins of their enemies.""  ""That's just one of Old Nan's stories;"" Bran"""
,Rickon S (Rickon), Brandon S (Bran),1130586," ""was here •À_""  That was the one thing they could agree on; Bran and Rickon"""
,Robb S (Robb), Brandon S (Bran),1130595," ""•À_""  That was the one thing they could agree on; Bran and Rickon and Robb"""
,Eddard S (Eddard), Brandon S (Bran),1130654," ""Bran and Rickon and Robb the Lord; they all wished Father was here. But Lord Eddard"""
,Brandon S (Bran), Sansa S (Sansa),1131664," ""Father's own seal and written in Sansa's hand; the cruel truth seemed no less incredible. Bran"""
,Robb S (Robb), Brandon S (Bran),1131700," ""hand; the cruel truth seemed no less incredible. Bran would never forget the look on Robb"""
,Brandon S (Brandon), Rickard K (Lord Rickard),1132886," ""had returned.  Their grandfather; old Lord Rickard; had gone as well; with his son Brandon"""
,Robb S (Robb), Brandon S (Bran),1133399," ""his death for a certainty. It frightened Bran more than he could say.  ""If Robb"""
,Brandon S (Bran), Robb S (Robb),1133432," ""Bran more than he could say.  ""If Robb has to go; watch over him;"" Bran"""
,Osha (Osha), Brandon S (Bran),1133938," ""bared his teeth. ""You hear them; boy?"" a voice asked.  Bran lifted his head. Osha"""
,Osha (Osha), Brandon S (Bran),1134302," ""Bran wrapped his arms around him. ""What are you doing here?"" He had not seen Osha"""
,Osha (Osha), Brandon S (Bran),1135056," """"No; stay;"" Bran commanded her. ""Tell me what you meant; about hearing the gods.""  Osha"""
,Hodor (Hodor), Brandon S (Bran),1136283," ""that.  The rustling grew louder. Bran heard muffled footfalls and a low humming; and Hodor"""
,Brandon S (Bran), Hodor (Hodor),1136384," ""out of the trees; naked and smiling. ""Hodor!""  ""He must have heard our voices;"" Bran"""
,Hodor (Hodor), Brandon S (Bran),1136397," ""the trees; naked and smiling. ""Hodor!""  ""He must have heard our voices;"" Bran said. ""Hodor"""
,Brandon S (Bran), Hodor (Hodor),1139887," ""Lord Karstark's sons and honored friends. They were already at their places when Hodor carried Bran"""
,Brandon S (Brandon), Hallis M (Hallis Mollen),1140124," ""of every stranger in the hall. It had grown quiet. ""My lords;"" Hallis Mollen announced; ""Brandon"""
,Harrion K (Harrion), Brandon S (Bran),1140264," ""Bran said stiffly; ""and offer you meat and mead in honor of our friendship.""  Harrion"""
,Luwin (Maester Luwin), Brandon S (Bran the Broken),1140822," ""now? Bran the Broken? ""I don't want to be broken;"" he whispered fiercely to Maester Luwin"""
,Brandon S (Bran), Luwin (Luwin),1141015," ""the mind;"" Luwin replied. ""You are a surpassing clever boy when you work at it; Bran"""
,Luwin (Maester Luwin), Brandon S (Bran),1141215," ""to learn magic;"" Bran told him. ""The crow promised that I would fly.""  Maester Luwin"""
,Brandon S (Bran), Nan (Old Nan),1141850," ""Wildling woman could give Old Nan lessons in telling tales; I think;"" he said when Bran"""
,Robb S (Robb), Brandon S (Bran),1143220," """"No!"" he'd screamed when Bran had asked if he didn't want to say farewell to Robb"""
,Brandon S (Bran), Robb S (Robb),1143256," ""if he didn't want to say farewell to Robb. ""NO farewell!""  ""I told him;"" Bran"""
,Brandon S (Bran), Robb S (Robb),1144195," ""sound went up. The foot soldiers and townsfolk were cheering Robb as he rode past; Bran"""
,Brandon S (Bran), Hodor (Hodor),1144887," ""had a lost and frightened look to his face. ""Hodor?"" he said sadly.  ""Hodor;"" Bran"""
,Drogo (Khal Drogo), Brandon S (Bran),1144979," ""     DAENERYS   When he had taken his pleasure; Khal Drogo"""
,Brandon S (Brandon), Catelyn S (Catelyn Stark),1217814," ""end; near last; came the names Sansa had been dreading. Lady Catelyn Stark. Robb Stark. Brandon"""
,Brandon S (Brandon), Robb S (Robb Stark),1217814," ""end; near last; came the names Sansa had been dreading. Lady Catelyn Stark. Robb Stark. Brandon"""
,Brandon S (Brandon), Sansa S (Sansa),1217814," ""end; near last; came the names Sansa had been dreading. Lady Catelyn Stark. Robb Stark. Brandon"""
,Rickon S (Rickon), Brandon S (Brandon Stark),1217828," ""last; came the names Sansa had been dreading. Lady Catelyn Stark. Robb Stark. Brandon Stark; Rickon"""
,Arya S (Arya), Brandon S (Brandon Stark),1217840," ""the names Sansa had been dreading. Lady Catelyn Stark. Robb Stark. Brandon Stark; Rickon Stark; Arya"""
,Sansa S (Sansa), Brandon S (Brandon Stark),1217853," ""Sansa had been dreading. Lady Catelyn Stark. Robb Stark. Brandon Stark; Rickon Stark; Arya Stark. Sansa"""
,Robert B (Robert), Brandon S (Brandon),1236706," ""days and cool nights and the sweet taste of wine. He remembered Brandon's laughter; and Robert"""
,Yohn R (Bronze), Brandon S (Brandon),1237559," ""he rode; and it seemed no lance could touch him. Brandon fell to him; and Bronze"""
,Arthur D (Arthur), Brandon S (Brandon),1237604," ""touch him. Brandon fell to him; and Bronze Yohn Royce; and even the splendid Ser Arthur"""
,Brandon S (Bran), Walder F (Walder),1275709," ""aged eight years and seven. It would seem they are both named Walder. Your brother Bran"""
,Brandon S (Bran), Jon S (Jon),1285739," ""more apt. One of our builders is a fair stonecarver.""  When Jon had been Bran"""
,Brandon S (Brandon), Hal M (Hal Mollen),1374784," ""Mollen and her guard around her; and she waited as she had waited before; for Brandon"""
,Eddard S (Ned), Brandon S (Brandon),1374792," ""her guard around her; and she waited as she had waited before; for Brandon and Ned"""
,Brandon S (Bran), Arya S (Arya),1417129," ""hoop. Arya stared at them with resentment; remembering the times she'd played at hoops with Bran"""
,Jon S (Jon), Brandon S (Bran),1417137," ""stared at them with resentment; remembering the times she'd played at hoops with Bran and Jon"""
,Rickon S (Rickon), Brandon S (Bran),1417167," ""remembering the times she'd played at hoops with Bran and Jon and their baby brother Rickon"""
,Brandon S (Bran), Jon S (Jon),1417224," ""Jon and their baby brother Rickon. She wondered how big Rickon had grown; and whether Bran"""
,Brandon S (Bran), Rickon S (Rickon),1417224," ""Jon and their baby brother Rickon. She wondered how big Rickon had grown; and whether Bran"""
,Jon S (Jon), Brandon S (Bran),1417270," ""big Rickon had grown; and whether Bran was sad. She would have given anything if Jon"""
,Luwin (Maester Luwin), Brandon S (Bran),1435290," ""Most were younger; sixteen or less.  Bran watched them from the balcony of Maester Luwin"""
,Brandon S (Bran), Luwin (Maester Luwin),1436896," ""We could be a knight together.""  ""I think that •À_ unlikely;"" Maester Luwin said. ""Bran"""
,Rodrik C (Ser Rodrik), Brandon S (Bran),1437406," ""•À_""  ""There was a knight once who couldn't see;"" Bran said stubbornly; as Ser Rodrik"""
,Nan (Old Nan), Brandon S (Bran),1437430," ""knight once who couldn't see;"" Bran said stubbornly; as Ser Rodrik went on below. ""Old Nan"""
,Florian (Florian), Brandon S (Bran),1437766," ""or so the singers claim. Bran; that is only a story; like the tales of Florian"""
,Brandon S (Bran), Hodor (Hodor),1438409," """"Hodor won't go down into the crypts.""  The maester had only been half listening; Bran"""
,Hodor (Hodor), Brandon S (Bran),1438471," ""only been half listening; Bran could tell. He lifted his eye from the tube; blinking. ""Hodor"""
,Eddard S (Eddard), Brandon S (Bran),1439352," ""neck; as he often did when he was uncomfortable. ""Bran; sweet child; one day Lord Eddard"""
,Brandon S (Bran), Osha (Osha),1440244," ""lifted him in wiry-strong arms. The direwolf left his bone and followed as Osha carried Bran"""
,Brandon S (Bran), Luwin (Maester Luwin),1440365," ""steps to the cold vault under the earth. Maester Luwin went ahead with a torch. Bran"""
,Osha (Osha), Brandon S (Bran),1441460," ""Winter;"" Bran whispered. Somehow it felt wrong to talk too loudly in this place.  Osha"""
,Brandon S (Bran), Osha (Osha),1442383," ""the light. Summer refused to move from the steps; even when Osha followed the torch; Bran"""
,Osha (Osha), Brandon S (Bran),1442477," ""arms.  ""Do you recall your history; Bran?"" the maester said as they walked. ""Tell Osha"""
,Rickard K (Lord Rickard), Brandon S (Bran),1443845," ""end now; and Bran felt a sadness creeping over him. ""And there's my grandfather; Lord Rickard"""
,Brandon S (Brandon), Aerys T (Aerys),1443922," ""Lord Rickard; who was beheaded by Mad King Aerys. His daughter Lyanna and his son Brandon"""
,Brandon S (Brandon), Lyanna (Lyanna),1443922," ""Lord Rickard; who was beheaded by Mad King Aerys. His daughter Lyanna and his son Brandon"""
,Brandon S (Brandon), Rickard K (Lord Rickard),1443922," ""Lord Rickard; who was beheaded by Mad King Aerys. His daughter Lyanna and his son Brandon"""
,Brandon S (Bran), Rhaegar T (Rhaegar),1444258," """"Robert was betrothed to marry her; but Prince Rhaegar carried her off and raped her;"" Bran"""
,Brandon S (Bran), Robert B (Robert),1444258," """"Robert was betrothed to marry her; but Prince Rhaegar carried her off and raped her;"" Bran"""
,Robert B (Robert), Brandon S (Bran),1444277," ""betrothed to marry her; but Prince Rhaegar carried her off and raped her;"" Bran explained. ""Robert"""
,Rhaegar T (Rhaegar), Brandon S (Bran),1444325," ""and raped her;"" Bran explained. ""Robert fought a war to win her back. He killed Rhaegar"""
,Brandon S (Bran), Luwin (Maester Luwin),1444593," ""time comes;"" Maester Luwin said. ""Is this where you saw your father in your dream; Bran"""
,Brandon S (Bran), Luwin (Maester Luwin),1445866," ""other; while Maester Luwin struggled to his knees; his arm torn and bloody. Osha propped Bran"""
,Brandon S (Bran), Osha (Osha),1445866," ""other; while Maester Luwin struggled to his knees; his arm torn and bloody. Osha propped Bran"""
,Rickard K (Lord Rickard), Brandon S (Bran),1445890," ""struggled to his knees; his arm torn and bloody. Osha propped Bran up against Lord Rickard"""
,Brandon S (Bran), Luwin (Luwin),1446322," ""side. ""You let my father be;"" Rickon warned Luwin. ""You let him be.""  ""Rickon;"" Bran"""
,Brandon S (Bran), Rickon S (Rickon),1446322," ""side. ""You let my father be;"" Rickon warned Luwin. ""You let him be.""  ""Rickon;"" Bran"""
,Luwin (Maester Luwin), Brandon S (Bran),1446603," ""coming home now; like he promised. He's coming home.""  Bran had never seen Maester Luwin"""
,Brandon S (Bran), Rickon S (Rickon),1447104," """"I let him loose. He doesn't like chains."" He licked at his fingers.  ""Rickon;"" Bran"""
,Brandon S (Bran), Luwin (Luwin),1447976," ""boy's the lordling here; as I recall."" She handed Luwin back his torch and scooped Bran"""
,Rickon S (Rickon), Brandon S (Bran),1448053," ""Bran up into her arms again. ""The maester's tower it is.""  ""Will you come; Rickon"""
,Brandon S (Bran), Osha (Osha),1448136," ""Rickon?""  His brother nodded. ""If Shaggy comes too;"" he said; running after Osha and Bran"""
,Brandon S (Bran), Rickon S (Rickon),1448136," ""Rickon?""  His brother nodded. ""If Shaggy comes too;"" he said; running after Osha and Bran"""
,Luwin (Maester Luwin), Brandon S (Bran),1448173," ""Shaggy comes too;"" he said; running after Osha and Bran; and there was nothing Maester Luwin"""
,Brandon S (Bran), Luwin (Maester Luwin),1448292," ""eye on the wolves.  Maester Luwin's turret was so cluttered that it seemed to Bran"""
,Rickon S (Rickon), Brandon S (Bran),1450943," ""handful of shiny black arrowheads.  Bran picked one up. ""It's made of glass."" Curious; Rickon"""
,Luwin (Maester Luwin), Brandon S (Bran),1451996," ""said. It was important.  ""What do you wish to know?""  ""Everything.""  Maester Luwin"""
,Rickon S (Rickon), Brandon S (Bran),1455412," "" ""Tell me where they went;"" Bran said. ""I want to know.""  ""Me too;"" Rickon"""
,Luwin (Luwin), Brandon S (Bran),1455444," ""Bran said. ""I want to know.""  ""Me too;"" Rickon echoed.  ""Oh; very well;"" Luwin"""
,Luwin (Maester Luwin), Brandon S (Bran),1457241," ""one and clattered on the floor. Bran pulled him close and hugged him.  Maester Luwin"""
,Brandon S (Bran), Jon S (Jon),1523642," ""ravens took flight; Jon knew he would find no safe haven. Not even at Winterfell. Bran"""
,Luwin (Maester Luwin), Brandon S (Bran),1523686," ""safe haven. Not even at Winterfell. Bran might want to let him in; but Maester Luwin"""
,Brandon S (Bran), Desmond (Desmond),1526052," ""gods and the new."" Desmond and Fat Tom had dragged the man to the stump. Bran"""
,Brandon S (Bran), Tom (Fat Tom),1526052," ""gods and the new."" Desmond and Fat Tom had dragged the man to the stump. Bran"""
,Jon S (Jon), Brandon S (Bran),1526093," ""had dragged the man to the stump. Bran's eyes had been wide as saucers; and Jon"""
,Brandon S (Bran), Arya S (Arya),1544819," ""Jon Snow straightened himself and took a long deep breath. Forgive me; Father. Robb; Arya; Bran"""
,Brandon S (Bran), Jon S (Jon Snow),1544819," ""Jon Snow straightened himself and took a long deep breath. Forgive me; Father. Robb; Arya; Bran"""
,Brandon S (Bran), Robb S (Robb),1544819," ""Jon Snow straightened himself and took a long deep breath. Forgive me; Father. Robb; Arya; Bran"""
,Brandon S (Brandon), Petyr B (Petyr Baelish),1549211," ""escorted her up the water stair and across the lower bailey; where Petyr Baelish and Brandon"""
,Brandon S (Bran), Raymun D (Raymun),1559891," ""with him; and they brought a Darry; Ser Raymun's son; a lad no older than Bran"""
,Jonos B (Jonos), Brandon S (Bran),1559903," ""and they brought a Darry; Ser Raymun's son; a lad no older than Bran. Lord Jonos"""
,Brandon S (Bran), Renly B (Renly),1562688," ""neither one is king; still; how could it be Lord Renly? He's Robert's younger brother. Bran"""
,Brandon S (Bran), Robert B (Robert),1562688," ""neither one is king; still; how could it be Lord Renly? He's Robert's younger brother. Bran"""
,Renly B (Renly), Brandon S (Bran),1562737," ""Lord Renly? He's Robert's younger brother. Bran can't be Lord of Winterfell before me; and Renly"""
