Book,Page,Chapter No,Chapter Name,POV,Character,Title,Forename,Surname,Old Surname,Alias,Regnal No,Gender,Status
A Game of Thrones,211,22,Arya II,Arya Stark,Tomard; Fat Tom,,Tomard,,,Fat Tom,,M,D
A Game of Thrones,218,22,Arya II,Arya Stark,Syrio Forel,,Syrio,Forel,,,,M,U
A Game of Thrones,227,23,Daenerys III,Daenerys Targaryen,King Aegon III Targaryen; Dragonbane/The Younger,King,Aegon,Targaryen,,Dragonbane/The Younger,III,M,D
A Game of Thrones,243,25,Eddard V,Eddard Stark,King Maekar I Targaryen,King,Maekar,Targaryen,,,I,M,D
A Game of Thrones,244,25,Eddard V,Eddard Stark,Maester Colemon,Maester,Colemon,,,,,M,A
A Game of Thrones,245,25,Eddard V,Eddard Stark,King Jaehaerys II Targaryen,King,Jaehaerys,Targaryen,,,II,M,D
A Game of Thrones,245,25,Eddard V,Eddard Stark,King Aegon V Targaryen; The Fortunate/The Unlikely,King,Aegon,Targaryen,,The Fortunate/The Unlikely,V,M,D
A Game of Thrones,246,25,Eddard V,Eddard Stark,Grand Maester Malleon,Grand Maester,Malleon,,,,,M,D
A Game of Thrones,249,25,Eddard V,Eddard Stark,Ser Hugh; Of the Vale,Ser,Hugh,,,Of the Vale,,M,D
A Game of Thrones,252,26,Jon IV,Jon Snow,Rast,,Rast,,,,,M,D
A Game of Thrones,253,26,Jon IV,Jon Snow,Albett,,Albett,,,,,M,A
A Game of Thrones,254,26,Jon IV,Jon Snow,Samwell Tarly,,Samwell,Tarly,,,,M,A
A Game of Thrones,254,26,Jon IV,Jon Snow,Lord Randyll Tarly,Lord,Randyll,Tarly,,,,M,A
A Game of Thrones,259,26,Jon IV,Jon Snow,Qhorin; Halfhand,,Qhorin,,,Halfhand,,M,D
A Game of Thrones,261,26,Jon IV,Jon Snow,Lord Mathis Rowan,Lord,Mathis,Rowan,,,,M,A
A Game of Thrones,264,27,Eddard VI,Eddard Stark,Janos Slynt,,Janos,Slynt,,,,M,D
A Game of Thrones,266,27,Eddard VI,Eddard Stark,Lann; The Clever,,Lann,,,The Clever,,M,F
A Game of Thrones,268,27,Eddard VI,Eddard Stark,Lady Margaery Tyrell,Lady,Margaery,Tyrell,,,,F,A
A Game of Thrones,269,27,Eddard VI,Eddard Stark,Varly,,Varly,,,,,M,D
A Game of Thrones,270,27,Eddard VI,Eddard Stark,Lord Beric Dondarrion; The Lightning Lord,Lord,Beric,Dondarrion,,The Lightning Lord,,M,D
A Game of Thrones,271,27,Eddard VI,Eddard Stark,Tobho Mott,,Tobho,Mott,,,,M,A
A Game of Thrones,272,27,Eddard VI,Eddard Stark,Gendry,,Gendry,,,,,M,A
A Game of Thrones,276,28,Catelyn V,Catelyn Tully,Masha Heddle,,Masha,Heddle,,,,F,D
A Game of Thrones,276,28,Catelyn V,Catelyn Tully,Lord Jason Mallister,Lord,Jason,Mallister,,,,M,A
A Game of Thrones,276,28,Catelyn V,Catelyn Tully,Patrek Mallister,,Patrek,Mallister,,,,M,A
A Game of Thrones,278,28,Catelyn V,Catelyn Tully,Lady Shella Whent,Lady,Shella,Whent,,,,F,D
A Game of Thrones,278,28,Catelyn V,Catelyn Tully,Lord Walder Frey; The Late Lord Frey,Lord,Walder,Frey,,The Late Lord Frey,,M,A
A Game of Thrones,280,28,Catelyn V,Catelyn Tully,Marillion,,Marillion,,,,,M,D
A Game of Thrones,280,28,Catelyn V,Catelyn Tully,Alia; Of Braavos,,Alia,,,Of Braavos,,F,A
