Naerys-Targaryen,Naerys Targaryen,A Game of Thrones,142,15,Sansa I,Sansa Stark,Queen Naerys Targaryen,Queen,Naerys,Targaryen,,,,F,D
Nan,Nan,A Game of Thrones,11,1,Bran I,Bran Stark,Nan; Old Nan,,Nan,,,Old Nan,,F,A
Olyvar-Frey,Olyvar Frey,A Game of Thrones,626,59,Catelyn IX,Catelyn Tully,Olyvar Frey,,Olyvar,Frey,,,,M,U
Osha,Osha,A Game of Thrones,390,37,Bran V,Bran Stark,Osha,,Osha,,,,,F,A
Othor,Othor,A Game of Thrones,532,51,Sansa IV,Sansa Stark,Othor,,Othor,,,,,M,D
Patrek-Mallister,Patrek Mallister,A Game of Thrones,276,28,Catelyn V,Catelyn Tully,Patrek Mallister,,Patrek,Mallister,,,,M,A
Perwyn-Frey,Perwyn Frey,A Game of Thrones,620,59,Catelyn IX,Catelyn Tully,Ser Perwyn Frey,Ser,Perwyn,Frey,,,,M,A
Petyr-Baelish,Petyr Baelish,A Game of Thrones,78,8,Bran II,Bran Stark,Lord Petyr Baelish; Littlefinger,Lord,Petyr,Baelish,,Littlefinger,,M,A
Podrick-Payne,Podrick Payne,A Game of Thrones,654,62,Tyrion VIII,Tyrion Lannister,Podrick Payne,,Podrick,Payne,,,,M,U
Pono,Pono,A Game of Thrones,683,64,Daenerys VIII,Daenerys Targaryen,Ko Pono,Ko,Pono,,,,,M,A
Porther,Porther,A Game of Thrones,210,22,Arya II,Arya Stark,Porther,,Porther,,,,,M,D
Preston-Greenfield,Preston Greenfield,A Game of Thrones,485,47,Eddard XIII,Eddard Stark,Ser Preston Greenfield,Ser,Preston,Greenfield,,,,M,D
Pycelle,Pycelle,A Game of Thrones,22,2,Catelyn I,Catelyn Tully,Grand Maester Pycelle,Grand Maester,Pycelle,,,,,M,D
Qhorin,Qhorin,A Game of Thrones,259,26,Jon IV,Jon Snow,Qhorin; Halfhand,,Qhorin,,,Halfhand,,M,D
Rakharo,Rakharo,A Game of Thrones,568,54,Daenerys VI,Daenerys Targaryen,Rakharo,,Rakharo,,,,,M,A
Randyll-Tarly,Randyll Tarly,A Game of Thrones,254,26,Jon IV,Jon Snow,Lord Randyll Tarly,Lord,Randyll,Tarly,,,,M,A
Rast,Rast,A Game of Thrones,252,26,Jon IV,Jon Snow,Rast,,Rast,,,,,M,D
Raymun-Darry,Raymun Darry,A Game of Thrones,148,16,Eddard III,Eddard Stark,Lord Raymun Darry,Lord,Raymun,Darry,,,,M,D
Renly-Baratheon,Renly Baratheon,A Game of Thrones,78,8,Bran II,Bran Stark,Renly Baratheon,,Renly,Baratheon,,,,M,D
Rhaegar-Targaryen,Rhaegar Targaryen,A Game of Thrones,27,3,Daenerys I,Daenerys Targaryen,Prince Rhaegar Targaryen,Prince,Rhaegar,Targaryen,,,,M,D
Rhaenys-Targaryen,Rhaenys Targaryen,A Game of Thrones,613,58,Eddard XV,Eddard Stark,Princess Rhaenys Targaryen; Rhaegar's daughter,Princess,Rhaenys,Targaryen,,Rhaegar's daughter,,F,D
Rickard-Karstark,Rickard Karstark,A Game of Thrones,549,53,Bran VI,Bran Stark,Lord Rickard Karstark,Lord,Rickard,Karstark,,,,M,D
Rickard-Stark,Rickard Stark,A Game of Thrones,40,4,Eddard I,Eddard Stark,Lord Rickard Stark,Lord,Rickard,Stark,,,,M,D
Rickard-Stark,Rickard Stark,A Game of Thrones,708,66,Bran VII,Bran Stark,King Rickard Stark,King,Rickard,Stark,,,,M,D
Rickon-Stark,Rickon Stark,A Game of Thrones,17,1,Bran I,Bran Stark,Rickon Stark,,Rickon,Stark,,,,M,A
Robar-Royce,Robar Royce,A Game of Thrones,285,29,Sansa II,Sansa Stark,Ser Robar Royce,Ser,Robar,Royce,,,,M,D
Robb-Stark,Robb Stark,A Game of Thrones,11,1,Bran I,Bran Stark,Robb Stark,,Robb,Stark,,,,M,D
Robert-Baratheon,Robert Baratheon,A Game of Thrones,12,1,Bran I,Bran Stark,King Robert Baratheon,King,Robert,Baratheon,,,,M,D
