Frenken,Frenken,A Clash of Kings,207,15,Tyrion III,Tyrion Lannister,Maester Frenken,Maester,Frenken,,,,,M,A
Ironbelly,Ironbelly,A Clash of Kings,212,15,Tyrion III,Tyrion Lannister,Ironbelly,,Ironbelly,,,,,M,A
Salloreon,Salloreon,A Clash of Kings,213,15,Tyrion III,Tyrion Lannister,"Salloreon, Master Armorer",,Salloreon,,,Master Armorer,,M,U
Alayaya,Alayaya,A Clash of Kings,216,15,Tyrion III,Tyrion Lannister,Alayaya,,Alayaya,,,,,F,A
Poxy-Tym,Poxy Tym,A Clash of Kings,226,16,Bran II,Bran Stark,Poxy Tym,,Poxy Tym,,,,,M,D
Donella-Hornwood,Donella Hornwood,A Clash of Kings,227,16,Bran II,Bran Stark,Lady Donella Hornwood,Lady,Donella,Hornwood,,,,F,D
Domeric-Bolton,Domeric Bolton,A Clash of Kings,228,16,Bran II,Bran Stark,Domeric Bolton,,Domeric,Bolton,,,,M,D
Heke,Heke,A Clash of Kings,228,16,Bran II,Bran Stark,"Heke, Reek",,Heke,,,Reek,,M,D
Mors-Umber,Mors Umber,A Clash of Kings,228,16,Bran II,Bran Stark,"Mors Umber, Crowfood",,Mors,Umber,,Crowfood,,M,A
Hother-Umber,Hother Umber,A Clash of Kings,232,16,Bran II,Bran Stark,"Hother Umber, Whoresbane",,Hother,Umber,,Whoresbane,,M,A
Larence-Snow,Larence Snow,A Clash of Kings,233,16,Bran II,Bran Stark,Larence Snow,,Larence,Snow,,,,M,A
Leobald-Tallhart,Leobald Tallhart,A Clash of Kings,233,16,Bran II,Bran Stark,Leobald Tallhart,,Leobald,Tallhart,,,,M,D
Benfred-Tallhart,Benfred Tallhart,A Clash of Kings,234,16,Bran II,Bran Stark,Benfred Tallhart,,Benfred,Tallhart,,,,M,D
Beren-Tallhart,Beren Tallhart,A Clash of Kings,234,16,Bran II,Bran Stark,Beren Tallhart,,Beren,Tallhart,,,,M,A
Cley-Cerwyn,Cley Cerwyn,A Clash of Kings,235,16,Bran II,Bran Stark,Cley Cerwyn,,Cley,Cerwyn,,,,M,D
Lyessa-Flint,Lyessa Flint,A Clash of Kings,235,16,Bran II,Bran Stark,Lady Lyessa Flint,Lady,Lyessa,Flint,,,,F,A
Ondrew-Locke,Ondrew Locke,A Clash of Kings,235,16,Bran II,Bran Stark,Lord Ondrew Locke,Lord,Ondrew,Locke,,,,M,A
Tallad,Tallad,A Clash of Kings,241,17,Tyrion IV,Tyrion Lannister,"Ser Tallad, The Tall",Ser,Tallad,,,The Tall,,M,A
Hallyne,Hallyne,A Clash of Kings,243,17,Tyrion IV,Tyrion Lannister,"Wisdom Hallyne, The Pyromancer",Wisdom,Hallyne,,,The Pyromancer,,M,A
Weasel,Weasel,A Clash of Kings,265,19,Arya V,Arya Stark,Weasel,,Weasel,,,,,F,U
Malliard,Malliard,A Clash of Kings,281,20,Tyrion V,Tyrion Lannister,Malliard,,Malliard,,,,,M,A
Munciter,Munciter,A Clash of Kings,281,20,Tyrion V,Tyrion Lannister,Munciter,,Munciter,,,,,M,A
Rossart,Rossart,A Clash of Kings,282,20,Tyrion V,Tyrion Lannister,Lord Rossart,Lord,Rossart,,,,,M,A
Calor,Calor,A Clash of Kings,288,20,Tyrion V,Tyrion Lannister,Calor,,Calor,,,,,M,U
Crawn,Crawn,A Clash of Kings,288,20,Tyrion V,Tyrion Lannister,"Crawn, Son of Calor",,Crawn,,,Son of Calor,,M,A
Jojen-Reed,Jojen Reed,A Clash of Kings,297,21,Bran III,Bran Stark,Jojen Reed,,Jojen,Reed,,,,M,A
Meera-Reed,Meera Reed,A Clash of Kings,297,21,Bran III,Bran Stark,Meera Reed,,Meera,Reed,,,,F,A
Skittrick,Skittrick,A Clash of Kings,297,21,Bran III,Bran Stark,Skittrick,,Skittrick,,,,,M,U
Shadd,Shadd,A Clash of Kings,302,21,Bran III,Bran Stark,Shadd,,Shadd,,,,,M,U
Colen,Colen,A Clash of Kings,306,22,Catelyn II,Catelyn Tully,"Ser Colen, Of Greenpools",Ser,Colen,,,Of Greenpools,,M,A
Ronnet-Connington,Ronnet Connington,A Clash of Kings,308,22,Catelyn II,Catelyn Tully,"Ser Ronnet Connington, Red Ronnet",Ser,Ronnet,Connington,,Red Ronnet,,M,A
Brienne-Tarth,Brienne Tarth,A Clash of Kings,311,22,Catelyn II,Catelyn Tully,"Brienne Tarth, The Beauty/The Blue/Of Tarth",,Brienne,Tarth,,The Beauty/The Blue/Of Tarth,,F,A
Selwyn-Tarth,Selwyn Tarth,A Clash of Kings,311,22,Catelyn II,Catelyn Tully,"Lord Selwyn Tarth, The Evenstar",Lord,Selwyn,Tarth,,The Evenstar,,M,A
Lorent-Caswell,Lorent Caswell,A Clash of Kings,313,22,Catelyn II,Catelyn Tully,Lord Lorent Caswell,Lord,Lorent,Caswell,,,,M,A
Lucas-Blackwood,Lucas Blackwood,A Clash of Kings,314,22,Catelyn II,Catelyn Tully,Lucas Blackwood,,Lucas,Blackwood,,,,M,D
Lord-Willum,Lord Willum,A Clash of Kings,316,22,Catelyn II,Catelyn Tully,Lord Willum,Lord,?,Willum,,,,M,A
Elyas-Willum,Elyas Willum,A Clash of Kings,316,22,Catelyn II,Catelyn Tully,Elyas Willum,,Elyas,Willum,,,,M,A
Guyard-Morrigen,Guyard Morrigen,A Clash of Kings,316,22,Catelyn II,Catelyn Tully,"Ser Guyard Morrigen, The Green",Ser,Guyard,Morrigen,,The Green,,M,D
Josua-Willum,Josua Willum,A Clash of Kings,316,22,Catelyn II,Catelyn Tully,Josua Willum,,Josua,Willum,,,,M,A
Mark-Mullendore,Mark Mullendore,A Clash of Kings,316,22,Catelyn II,Catelyn Tully,Ser Mark Mullendore,Ser,Mark,Mullendore,,,,M,A
Steffon-Varner,Steffon Varner,A Clash of Kings,316,22,Catelyn II,Catelyn Tully,Lord Steffon Varner,Lord,Steffon,Varner,,,,M,A
Tanton-Fossoway,Tanton Fossoway,A Clash of Kings,316,22,Catelyn II,Catelyn Tully,Ser Tanton Fossoway,Ser,Tanton,Fossoway,,,,M,A
Cortnay-Penrose,Cortnay Penrose,A Clash of Kings,320,22,Catelyn II,Catelyn Tully,Ser Cortnay Penrose,Ser,Cortnay,Penrose,,,,M,D
Craster,Craster,A Clash of Kings,321,23,Jon III,Jon Snow,Craster,,Craster,,,,,M,D
Lark,Lark,A Clash of Kings,331,23,Jon III,Jon Snow,"Lark, The Sisterman",,Lark,,,The Sisterman,,M,D
Gilly,Gilly,A Clash of Kings,335,23,Jon III,Jon Snow,Gilly,,Gilly,,,,,F,A
Nella,Nella,A Clash of Kings,335,23,Jon III,Jon Snow,Nella,,Nella,,,,,F,U
Bernarr,Bernarr,A Clash of Kings,336,23,Jon III,Jon Snow,"Bernarr, Brown Bernarr",,Bernarr,,,Brown Bernarr,,M,D
Bael,Bael,A Clash of Kings,340,23,Jon III,Jon Snow,"King Bael, The Bard",King,Bael,,,The Bard,,M,F
Gendel,Gendel,A Clash of Kings,340,23,Jon III,Jon Snow,King Gendel,King,Gendel,,,,,M,F
Gorne,Gorne,A Clash of Kings,340,23,Jon III,Jon Snow,King Gorne,King,Gorne,,,,,M,F
Joramun,Joramun,A Clash of Kings,340,23,Jon III,Jon Snow,Joramun,,Joramun,,,,,M,F
Raymun-Redbeard,Raymun Redbeard,A Clash of Kings,340,23,Jon III,Jon Snow,King Raymun Redbeard,King,Raymun,Redbeard,,,,M,D
Esgred,Esgred,A Clash of Kings,343,24,Theon II,Theon Greyjoy,Esgred,,Esgred,,,,,F,A
Sigrin,Sigrin,A Clash of Kings,343,24,Theon II,Theon Greyjoy,"Sigrin, The Shipwright",,Sigrin,,,The Shipwright,,M,A
Bluetooth,Bluetooth,A Clash of Kings,346,24,Theon II,Theon Greyjoy,Bluetooth,,Bluetooth,,,,,M,A
Otter-Gimpknee,Otter Gimpknee,A Clash of Kings,346,24,Theon II,Theon Greyjoy,Otter Gimpknee,,Otter,Gimpknee,,,,M,A
Eldiss,Eldiss,A Clash of Kings,347,24,Theon II,Theon Greyjoy,Eldiss,,Eldiss,,,,,M,D
Qarl,Qarl,A Clash of Kings,347,24,Theon II,Theon Greyjoy,"Qarl, The Maid",,Qarl,,,The Maid,,M,A
Rymolf-Stormdrunk,Rymolf Stormdrunk,A Clash of Kings,347,24,Theon II,Theon Greyjoy,Rymolf Stormdrunk,,Rymolf,Stormdrunk,,,,M,A
Skyte,Skyte,A Clash of Kings,347,24,Theon II,Theon Greyjoy,Skyte,,Skyte,,,,,M,A
Uller,Uller,A Clash of Kings,347,24,Theon II,Theon Greyjoy,Uller,,Uller,,,,,M,A
Wex-Pyke,Wex Pyke,A Clash of Kings,348,24,Theon II,Theon Greyjoy,Wex Pyke,,Wex,Pyke,,,,M,A
Rolfe,Rolfe,A Clash of Kings,355,24,Theon II,Theon Greyjoy,Rolfe,,Rolfe,,,,,M,A
Donnel-Locke,Donnel Locke,A Clash of Kings,364,25,Tyrion VI,Tyrion Lannister,Ser Donnel Locke,Ser,Donnel,Locke,,,,M,D
The-Tickler,The Tickler,A Clash of Kings,375,26,Arya VI,Arya Stark,The Tickler,,The Tickler,,,,,M,D
Chiswyck,Chiswyck,A Clash of Kings,376,26,Arya VI,Arya Stark,Chiswyck,,Chiswyck,,,,,M,D
Rafford,Rafford,A Clash of Kings,377,26,Arya VI,Arya Stark,"Rafford, Raff the Sweetling",,Rafford,,,Raff the Sweetling,,M,D
Dunsen,Dunsen,A Clash of Kings,378,26,Arya VI,Arya Stark,Dunsen,,Dunsen,,,,,M,A
Shitmouth,Shitmouth,A Clash of Kings,378,26,Arya VI,Arya Stark,Shitmouth,,?,,,Shitmouth,,M,A
Amabel,Amabel,A Clash of Kings,380,26,Arya VI,Arya Stark,Goodwife Amabel,Goodwife,Amabel,,,,,F,U
Harra,Harra,A Clash of Kings,380,26,Arya VI,Arya Stark,Goodwife Harra,Goodwife,Harra,,,,,F,A
Weese,Weese,A Clash of Kings,381,26,Arya VI,Arya Stark,Weese,,Weese,,,,,M,D
Saathos,Saathos,A Clash of Kings,383,27,Daenerys II,Daenerys Targaryen,"Saathos, The Wise",,Saathos,,,The Wise,,M,F
Quhuru-Mo,Quhuru Mo,A Clash of Kings,389,27,Daenerys II,Daenerys Targaryen,Captain Quhuru Mo,Captain,Quhuru,Mo,,,,M,A
Dancy,Dancy,A Clash of Kings,408,29,Tyrion VII,Tyrion Lannister,Dancy,,Dancy,,,,,F,A
Marei,Marei,A Clash of Kings,409,29,Tyrion VII,Tyrion Lannister,Marei,,Marei,,,,,F,A
Alyn-Stackspear,Alyn Stackspear,A Clash of Kings,415,30,Arya VII,Arya Stark,Ser Alyn Stackspear,Ser,Alyn,Stackspear,,,,M,A
Dunaver,Dunaver,A Clash of Kings,415,30,Arya VII,Arya Stark,Ser Dunaver,Ser,Dunaver,,,,,M,A
Jodge,Jodge,A Clash of Kings,415,30,Arya VII,Arya Stark,Jodge,,Jodge,,,,,M,A
Pia,Pia,A Clash of Kings,415,30,Arya VII,Arya Stark,"Pia, Pretty Pia",,Pia,,,Pretty Pia,,F,A
