id,label,timeset,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality,Closeness Centrality
Rhaego,Rhaego,,1,4,6,0.235404896,0.260266667,0,3,0.002327321,0,0,0,0.00657877,4.248
Maege M,Maege,,1,5,6,0.265392781,0.282266667,0,5,0.002313233,0,0,0,0.008583795,3.768
Bowen M,Bowen,,1,5,5,0.336927224,0.3588,0,1,0.002178512,0,0,0,0.036541953,2.968
Donal N,Donal,,1,7,5,0.336927224,0.3588,0,1,0.002178512,0,0,0,0.036541953,2.968
Dareon,Dareon,,1,5,5,0.336927224,0.3588,0,1,0.002178512,0,0,0,0.036541953,2.968
Hobb,Hobb,,1,6,5,0.336927224,0.3588,0,1,0.002178512,0,0,0,0.036541953,2.968
Mord,Mord,,1,19,5,0.347222222,0.3712,0,2,0.002153593,0,0,0,0.04680371,2.88
Shae,Shae,,1,12,5,0.347222222,0.3712,0,2,0.002153593,0,0,0,0.04680371,2.88
Lefford,Lefford,,1,4,5,0.347222222,0.3712,0,2,0.002153593,0,0,0,0.04680371,2.88
Addam M,Addam,,1,6,5,0.3125,0.330533333,0,2,0.002094195,0,0,0,0.025133308,3.2
Masha H,Masha,,1,5,5,0.344352617,0.3672,0,5,0.00207668,0,0,0,0.046493181,2.904
Stevron F,Stevron,,1,5,5,0.344352617,0.3672,0,5,0.00207668,0,0,0,0.046493181,2.904
Donnel W,Donnel,,1,4,5,0.344352617,0.3672,0,5,0.00207668,0,0,0,0.046493181,2.904
Hullen,Hullen,,1,5,5,0.311720698,0.330666667,0,0,0.00206657,0,0,0,0.02848279,3.208
Desmond,Desmond,,1,4,4,0.374251497,0.395333333,0,0,0.002049047,0,0,0,0.062178313,2.672
Vayon P,Vayon,,1,9,4,0.374251497,0.395333333,0,0,0.002049047,0,0,0,0.062178313,2.672
Tobho M,Tobho,,1,7,4,0.374251497,0.395333333,0,0,0.002049047,0,0,0,0.062178313,2.672
Torrhen K,Torrhen,,1,5,4,0.374251497,0.395333333,0,0,0.002049047,0,0,0,0.062178313,2.672
Malleon,Malleon,,1,5,5,0.286697248,0.3052,0,0,0.00202402,0,0,0,0.022989163,3.488
Maegor,Maegor,,1,4,5,0.339673913,0.3612,0,4,0.002010869,0,0,0,0.044968667,2.944
